"","school","sex","age","Pstatus","Medu","Fedu","traveltime","studytime","failures","higher","internet","absences","G1","G2","G3"
"1","Gabriel Pereira","F",18,"A",4,4,2,2,0,"yes","no",6,5,6,6
"2","Gabriel Pereira","F",17,"T",1,1,1,2,0,"yes","yes",4,5,5,6
"3","Gabriel Pereira","F",15,"T",1,1,1,2,3,"yes","yes",10,7,8,10
"4","Gabriel Pereira","F",15,"T",4,2,1,3,0,"yes","yes",2,15,14,15
"5","Gabriel Pereira","F",16,"T",3,3,1,2,0,"yes","no",4,6,10,10
"6","Gabriel Pereira","M",16,"T",4,3,1,2,0,"yes","yes",10,15,15,15
"7","Gabriel Pereira","M",16,"T",2,2,1,2,0,"yes","yes",0,12,12,11
"8","Gabriel Pereira","F",17,"A",4,4,2,2,0,"yes","no",6,6,5,6
"9","Gabriel Pereira","M",15,"A",3,2,1,2,0,"yes","yes",0,16,18,19
"10","Gabriel Pereira","M",15,"T",3,4,1,2,0,"yes","yes",0,14,15,15
"11","Gabriel Pereira","F",15,"T",4,4,1,2,0,"yes","yes",0,10,8,9
"12","Gabriel Pereira","F",15,"T",2,1,3,3,0,"yes","yes",4,10,12,12
"13","Gabriel Pereira","M",15,"T",4,4,1,1,0,"yes","yes",2,14,14,14
"14","Gabriel Pereira","M",15,"T",4,3,2,2,0,"yes","yes",2,10,10,11
"15","Gabriel Pereira","M",15,"A",2,2,1,3,0,"yes","yes",0,14,16,16
"16","Gabriel Pereira","F",16,"T",4,4,1,1,0,"yes","yes",4,14,14,14
"17","Gabriel Pereira","F",16,"T",4,4,1,3,0,"yes","yes",6,13,14,14
"18","Gabriel Pereira","F",16,"T",3,3,3,2,0,"yes","no",4,8,10,10
"19","Gabriel Pereira","M",17,"T",3,2,1,1,3,"yes","yes",16,6,5,5
"20","Gabriel Pereira","M",16,"T",4,3,1,1,0,"yes","yes",4,8,10,10
"21","Gabriel Pereira","M",15,"T",4,3,1,2,0,"yes","yes",0,13,14,15
"22","Gabriel Pereira","M",15,"T",4,4,1,1,0,"yes","yes",0,12,15,15
"23","Gabriel Pereira","M",16,"T",4,2,1,2,0,"yes","yes",2,15,15,16
"24","Gabriel Pereira","M",16,"T",2,2,2,2,0,"yes","yes",0,13,13,12
"25","Gabriel Pereira","F",15,"T",2,4,1,3,0,"yes","yes",2,10,9,8
"26","Gabriel Pereira","F",16,"T",2,2,1,1,2,"yes","yes",14,6,9,8
"27","Gabriel Pereira","M",15,"T",2,2,1,1,0,"yes","yes",2,12,12,11
"28","Gabriel Pereira","M",15,"T",4,2,1,1,0,"yes","yes",4,15,16,15
"29","Gabriel Pereira","M",16,"A",3,4,1,2,0,"yes","yes",4,11,11,11
"30","Gabriel Pereira","M",16,"T",4,4,1,2,0,"yes","yes",16,10,12,11
"31","Gabriel Pereira","M",15,"T",4,4,1,2,0,"yes","yes",0,9,11,12
"32","Gabriel Pereira","M",15,"T",4,4,2,2,0,"yes","yes",0,17,16,17
"33","Gabriel Pereira","M",15,"T",4,3,1,2,0,"yes","yes",0,17,16,16
"34","Gabriel Pereira","M",15,"T",3,3,1,2,0,"yes","yes",0,8,10,12
"35","Gabriel Pereira","M",16,"T",3,2,1,1,0,"yes","yes",0,12,14,15
"36","Gabriel Pereira","F",15,"T",2,3,2,1,0,"yes","no",0,8,7,6
"37","Gabriel Pereira","M",15,"T",4,3,1,3,0,"yes","yes",2,15,16,18
"38","Gabriel Pereira","M",16,"A",4,4,2,3,0,"yes","yes",7,15,16,15
"39","Gabriel Pereira","F",15,"T",3,4,1,3,0,"yes","yes",2,12,12,11
"40","Gabriel Pereira","F",15,"T",2,2,1,1,0,"yes","no",8,14,13,13
"41","Gabriel Pereira","F",16,"T",2,2,2,2,1,"yes","yes",25,7,10,11
"42","Gabriel Pereira","M",15,"T",4,4,1,1,0,"yes","yes",8,12,12,12
"43","Gabriel Pereira","M",15,"T",4,4,1,2,0,"yes","yes",2,19,18,18
"44","Gabriel Pereira","M",15,"T",2,2,1,1,0,"yes","yes",0,8,8,11
"45","Gabriel Pereira","F",16,"T",2,2,2,2,1,"yes","yes",14,10,10,9
"46","Gabriel Pereira","F",15,"A",4,3,1,2,0,"yes","yes",8,8,8,6
"47","Gabriel Pereira","F",16,"A",3,3,1,2,0,"yes","yes",12,11,12,11
"48","Gabriel Pereira","M",16,"T",4,3,1,4,0,"yes","yes",4,19,19,20
"49","Gabriel Pereira","M",15,"T",4,2,1,2,0,"yes","no",2,15,15,14
"50","Gabriel Pereira","F",15,"T",4,4,1,2,1,"yes","yes",2,7,7,7
"51","Gabriel Pereira","F",16,"T",2,2,3,2,0,"yes","yes",2,12,13,13
"52","Gabriel Pereira","F",15,"T",4,2,1,2,0,"yes","yes",2,11,13,13
"53","Gabriel Pereira","M",15,"A",4,2,2,1,1,"yes","no",6,11,11,10
"54","Gabriel Pereira","F",15,"T",4,4,1,1,0,"yes","yes",0,8,10,11
"55","Gabriel Pereira","F",15,"A",3,3,1,1,0,"yes","yes",6,10,13,13
"56","Gabriel Pereira","F",16,"A",2,1,1,2,0,"yes","yes",8,8,9,10
"57","Gabriel Pereira","F",15,"A",4,3,1,2,0,"yes","yes",0,14,15,15
"58","Gabriel Pereira","M",15,"T",4,4,1,2,0,"yes","no",4,14,15,15
"59","Gabriel Pereira","M",15,"T",1,2,1,2,0,"yes","yes",2,9,10,9
"60","Gabriel Pereira","F",16,"T",4,2,1,2,0,"yes","yes",2,15,16,16
"61","Gabriel Pereira","F",16,"T",4,4,1,2,0,"yes","no",6,10,11,11
"62","Gabriel Pereira","F",16,"T",1,1,4,1,0,"yes","yes",6,10,8,11
"63","Gabriel Pereira","F",16,"T",1,2,1,2,0,"yes","yes",4,8,10,9
"64","Gabriel Pereira","F",16,"T",4,3,1,3,0,"yes","yes",2,10,9,9
